Film;Anno;Budget;IncassoDomestico;Durata;Rating;Votanti;LunghezzaTrama;NumeroAttori;SRR;IncassoMondiale
Never Let Me Go;2010;15000000;2434700;94;62;600;392;2;2.296;11173700
Never Say Never Again;1983;36000000;55500000;134;62;57074;655;3;1.985;160000000
New in Town;2009;8000000;16734300;97;56;20533;115;2;2.609;29937900
New York Minute;2004;40000000;14018400;91;49;20631;882;3;2.041;21215900
New York Stories;1989;15000000;10763500;124;64;15971;475;8;3.368;10763500
New York, New York;1977;14000000;13800000;106;52;83;408;2;2.941;13800000
Next Day Air;2009;3000000;10027000;84;58;9947;395;7;0.76;10172500
Next Friday;2000;9500000;57176600;98;61;34453;1110;3;0.991;59675300
Next Stop Wonderland;1998;1000000;3395600;104;66;4520;128;3;8.594;3465700
Niagara;1953;1250000;2500000;92;70;13697;630;3;1.905;2500000
Nicholas Nickleby;2002;10000000;1562800;132;71;10970;432;4;3.472;1562800
Nick and Norah's Infinite Playlist;2008;10000000;31487300;90;66;85689;682;6;2.933;33886000
Night at the Museum;2006;110000000;250863300;108;64;293014;570;7;3.158;579446400
Night at the Museum: Battle of the Smithsonian;2009;150000000;177243700;105;60;164501;505;9;2.178;402231100
Night at the Museum: Secret of the Tomb;2014;127000000;113746600;98;62;96146;518;2;3.089;356546600
Night of the Living Dead;1968;114000;12087100;96;79;107894;676;2;1.775;30087100
Nightcrawler;2014;8500000;32381200;117;79;417812;616;2;2.273;50334400
Nighthawks;1981;5000000;14600000;113;58;489;630;3;3.81;19600000
Nim's Island;2008;37000000;48006800;96;60;31997;503;3;1.988;101857400
Nine;2009;80000000;19677000;118;58;41145;1123;7;3.473;53508900
Nixon;1995;45000000;13668200;192;71;27363;333;11;2.703;34668200
No Country for Old Men;2007;25000000;74273500;122;81;784834;687;7;1.165;164051300
No Escape;2015;5000000;27288900;83;58;19;95;2;5.263;42844500
No Good Deed;2014;13200000;52543600;103;55;6704;1265;3;2.213;54323200
No Looking Back;1998;5000000;143300;96;59;1865;739;3;3.518;143300
No Man's Land;2001;1000000;1067500;96;56;23;456;3;2.632;2684200
No Reservations;2007;28000000;43108000;104;63;67484;379;3;4.749;91944000
No Strings Attached;2011;25000000;70662200;93;49;134;908;7;4.185;149228100
Noah;2014;130000000;101200000;138;58;232341;876;2;2.283;352831100
Nomad;2007;40000000;79100;96;67;260;176;4;5.682;79100
Norm of the North;2016;18000000;17062500;90;34;8132;461;2;1.085;27392200
North Country;2005;30000000;18324200;126;73;37723;697;4;3.013;23676800
Not Another Teen Movie;2001;15000000;37882600;89;57;92199;626;3;4.473;62401300
Not Easily Broken;2009;5000000;10572700;99;61;2646;182;5;1.648;10732900
Nothing;2003;4000000;0;90;62;5624;681;4;2.643;63200
Nothing But a Man;2012;300000;17200;95;80;1118;634;2;3.155;17200
Nothing To Lose;1997;25000000;44480000;98;67;41878;707;3;2.263;64594100
Notorious;2009;19000000;36843700;102;79;86584;663;4;2.262;45005200
Notting Hill;1999;42000000;116089700;124;71;251135;1017;8;3.343;363728200
November;2005;250000;191900;90;75;51;458;1;1.747;191900
Novocaine;2001;6000000;2025200;95;58;10382;798;3;2.381;2522900
Now is Good;2013;500000;0;103;71;31873;65;6;3.077;2141400
Now You See Me;2013;75000000;117724000;115;73;562447;830;8;2.048;342769200
Now You See Me 2;2016;90000000;65075500;129;65;223649;785;1;0.892;328675500
Nowhere Boy;2010;1900000;1445400;98;71;33337;454;1;2.423;7785200
Nowhere to Run;1993;15000000;22189000;86;51;97;56;2;8.929;52189000
Nurse Betty;2000;24000000;25170100;110;61;32048;625;4;2.72;27732400
Nutty Professor II: The Klumps;2000;84000000;123307900;106;44;46229;655;4;5.802;166307900
O Brother, Where Art Thou?;2000;26000000;45506600;107;77;269000;733;6;1.637;75763800
Oblivion;2013;120000000;89107200;94;52;1043;731;7;3.01;287916600
Observe and Report;2009;18000000;24007300;86;58;58430;797;4;1.882;27148900
Obsessed;2009;20000000;68261600;75;71;86;652;3;0.92;73964700
Obvious Child;2014;1000000;3122600;84;68;22021;415;2;2.892;3324100
Ocean's Eleven;2001;85000000;183417200;116;78;482524;707;12;1.839;450728500
Ocean's Thirteen;2007;85000000;117144500;122;69;302425;723;9;1.383;311744500
Ocean's Twelve;2004;110000000;125531600;125;65;337290;598;8;1.84;362989100
Octopussy;1983;27500000;67900000;131;66;88320;722;4;1.385;187500000
